Label	Runlength	Gen	Randomizer	PID	Thinning	Mu	Nodes	Param1	Param2	Param3	Independence-Rate
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	32	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	1	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	9	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	13	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	34	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	6	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	19	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	38	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	15	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	29	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	17	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	33	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	11	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	7	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	4	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	27	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	22	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	14	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	25	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	39	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	37	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	30	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	2	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	26	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN0	1000	ERDOSRENYI	NETWORKIT_ES	18	1	1.0	500	0.5	-	-	0.0
ERDOSRENYI_RUN1	1000	ERDOSRENYI	NETWORKIT_ES	10	2	1.0	500	0.5	-	-	0.0
